medsos,comment
Youtube,"kak aku pake kok muncul kemerah""an y?? ap g cocok?stop ini ga ya ..  soalny ak baru pakeee 3hri .. galau ni🥲"
Youtube,Kak saya baru pake 4 hari ko timbul beruntusan  dilanjut apa stop ya kak 🙏..
Youtube,kak kalo siangnya bisa ga pake produk lain
Youtube,Buat kulit kering bisa ga?
Youtube,"Soryy ikut koment, btw gua baru pertama pake giniann.
Tapi soal skincare yg pink ini, gua pake, rasanya adem di pipi, & sdkit perih. 
Tapiii bekas nya berminyakk, ga kering gitu.  Gimana tuh 😮 mesti di bilas engga ... Gua kira bakal nyerep ke kulitt & bakal kering gitu bekas nya ternyata berminyakk ya gaees . Yg pink yg gua pake"
Youtube,Untuk kulit ku yang baik2 aja cuma belang trs kusam tapi ga berjerawat dan gapunya bekas jerawat bagus pake nya yang mana ya? Pink or blue?
Youtube,Untuk kulit ku yang baik2 aja cuma belang trs kusam tapi ga berjerawat dan gapunya bekas jerawat bagus pake nya yang mana ya? Pink or blue?
Youtube,"KA kalo aku pemakaian pertama sama kedua yg asalnya kulit ga apa2 jadi gatel2 bruntus gitu,sebaik nya gimana ya teruskan pemakaian atau berhenti?"
Youtube,"Tergantung kondisi kulit tapi pingin promil tapi belum hamil2, sama ajahhh.. jatohnya sebel ga bisa pake skincare yg ga bumil friendly"
Youtube,yang pink ini aman ga ya untuk bumil busui?
Youtube,"Klo ada jerawat , boleh gk ya pke yg pink ini."
Youtube,Kak kalo ga cocok yg pink skintific nya jdinkenapa
Youtube,Kaka make skincare dokter ga
Youtube,Misalnya udh pake moist skintific trs abis di timpa garnier day cream yng sakura boleh gk?
Youtube,Before after kok tergantung pencahayaan
Youtube,kak mau tanya kalo skintific mix ms glow gimana ya?
Youtube,"Hai kak, kalo skincare nya rangkaian Wardah lightening trus moisturizer nya yang warna apa ya? Pink atau biru"
Youtube,"hallo ka , aku jual MSH Niacinamide brightening moisture gel masih segel . karena aku baru tau tidak disarankan untuk bumil huhu . yg mau boleh japri aku yaa"
Youtube,"Kak bantu jawab dong, kalau paginya pake yg biru malam nya bisa gak pake yg pink?"
Youtube,Ijin nanya klo moist yg pink bisa di campur sama serum viva brightening advance ga kak ?
Youtube,Ini dipake ya siang ato malam kak?
Youtube,"Hi guys, aku mau jual skintific warna pink (serum+moist) ,karena dikulit aku kurang cocok, jd mau beralih lg ke skintific biru. Dari 250k aku jual 150k (aku beli diskintific officialnya langsung yaa)  makasih ;)"
Youtube,Kak yg pink itu aman gak ya utk busui semoga di jawan
Youtube,"niacinamide moisturizer nya bgus, jerawat hilang tp klo abis bangun tidur muka q berminyak bgt.."
Youtube,"Hai kak, kalo moistnya pake yg pink sunscreen ny  pake Wardah yang kuning itu boleh ga ya, makasih ka sebelumnya"
Youtube,"Klu kulit berminyak pake ini muka jd kyk kilang minyak, trus bsoknya muncul jerawat"
Youtube,tp gak aman buat ibu hamil
Youtube,Kak kalo dipake bumil aman gak?
Youtube,"afternya aja pake lighting ya jelas lebih glowing🤫 jgn ngelak ya, di bola mata kamu itu ada pantulan cahaya. dan bukan cahaya matahari"
Youtube,Kalo yg biru di pakai mlm hari trus di timpa krim mlm loreal gmn kak?
Youtube,Aku pakek yg pink tapi kenapa pipi aku jadi memerah gitu. Agak takut sii. Ada yg sama gak?
Youtube,Berapa harga yg pink satu nya
Youtube,Yg pink wangi nya gmn kak?
Youtube,Knp yg pink bumil gak boleh pakai😢
Youtube,"Lg pake yg moist pink sm serum btw kulit aku sebelumnya merah2 jerawat gerindil bekas nya item2 apalagi sawo mateng kulitku.yg kurasain di pemakaian 4 hari ini dikulit lembab jerawat kempes dikit trus bekas jerawat memudar dikit kl kemerahan belum ada perubahan di kulitku maybe butuh waktu .di kulit sawo mateng aku ga berharap bakal bikin putih tp buat ngempesin jerawat,gk bikin kusam dan memudarkan flek oke sih ."
Youtube,"Mau nanya dong ini kalau di pakai ke wajah berapa lama yah ??
And setelah pakai harus di bilas atau di biarkan saja ??"
Youtube,"TERNYATA DI GW GK COCOK YG PINK AA😭, BARU 1 KALI PAKE syang bet😭 ADA YG MAU BAYARIN G???? , KASIH HARGA MURAH AJA DEH.."
Youtube,Kak aku pakai paket yg pink kok kulit aku kayak kering bersisik ya😢
Youtube,ini produk bukan lokal ya jangan salah tangkep. dan mereka bener2 gencer pake influencer sebanyak mungkin untuk naikin brand nya dan matiin brand lokal kita. please gen z gen y harus pinter dalam memilih jangan mau kt kalah di negeri sendiri terus ya
Youtube,"maaf kak, apakah moisturizer msh niacinamide itu lama meresap kekulitnya ya"
Youtube,"maaf kak, apakah moisturizer msh niacinamide itu lama meresap kekulitnya ya"
Youtube,"Viidio pas makainya di skip,ga jelas tatarannya jqdinya,skip”"
Youtube,"Viidio pas makainya di skip,ga jelas tatarannya jqdinya,skip”"
Youtube,Kak refiew isi/dalemnya scintific yg wtna pink isi 80g donk. Ko aku beli isinya mlh dikit bnget mlah wadahnya aja yg gede... ada yg sama g sih?
Youtube,Moisturizet gel yang pink ada baunya ga sih ka?
Youtube,Mba kau cantik nikah yok🙈
Youtube,Ada yang mau pinang skitific paket glowing punya ku?
Youtube,Ini aman buat bumil gak sih kak?
Youtube,Abis exfo apakah boleh pakai moisturizer yg pink ini??
Youtube,Ka mau nanya harga moisturizer yg pink brp ya?
Youtube,Borong lah kak satu pabriknya untuk stok wkwkwk
Youtube,Kalo pakek moisturizer skintific GK usah pakek say cream atau night cream kak?
Youtube,Ka apakah boleh toner nya pake dari produk lain. Semoga aja di jawab ya
Youtube,Ada rekomendasi Pelembap apa lagi mentemen? 😄
Youtube,"Kak aku udah abis satu pot, ini udah buka pot baru, tp kok muncul bruntus kecil2 putih ya deket idung. D lanjut apa stop ya kak"
Youtube,Kak lipstiknya pakai apa warna apa kakkk
Youtube,Kak mo nanya bruntusan bisa hilang juga kah Pakai itu?
Youtube,"aku pake itu malah break out, makin jerawatan pada muncul 😭😭"
Youtube,"Kak, aman ga klo pake moist pagi dan malamnya beda merk?"
Youtube,"Aku pakai yg pink nya kak, kulit ku type ny kering"
Youtube,"Boleh ga si ka make moist cmn malem hari aja ,klo pagi cmn make fw doang"
Youtube,Euhhh kiraaainnn. Ternyataa masih endorse
Youtube,"Aku cocok banget pake moist skintific yang biru,saran pakai sedikit aja karna emang dia krimnya agak encer jadi cepet cair diwajah...kalo tipe wajah yang cepet keringetan dia bakal bleber,sisi positifnya kulitku sensitif Alhamdulillah pake skintific ga ada efek aneh2,dan lebih bagus tekstur kulitnya,dan ini bukan pemutih ya jadi jangan harap buat kulit jadi tambah putih,tapi kalau mau kulit sehat rekomended banget gaes...aman sekali apa lagi buat kulit wajah berjerawat+kemarahan. Ingat pakainya sedikit aja (aku pakai 4/5 titik  di wajah sebiji jagung)


Edit : Aku habis baca-baca komen, sebenarnya skincare itu tergantung kondisi kulit wajah dan cara pakai skincare gaes. Aku acne fighter dan sampai sekarang pun masih melawan acne. Saran skincare untuk wajah berjerawat (jerawatku sudah reda dan moist ini salah satu penolong banget untuk wajahku).
Cara pakai untuk kulit berjerawat :
*Pagi Hari*
1. Bersihkan wajah dengan micellar water WAJIB BANGET BANGET BANGET (jangan pakai susu pembersih karna akan menyumbat pori-pori,kalo orang berjerawat otomatis pori-pori sudah melebar karna bekas jerawat yang kadang di kopek dll)
2. Cuci muka dengan Face Wash khusus jerawat (aku pakai sabun batang khusus jerawat karna kalo facewash ditoko biasanya mengandung parfum)
3. Pakai toner (pakai sedikit aja 2 tetes dikapas dan biarkan meresap jangan buru2 pakai moist,aku tunggu 5 menit baru pake)
4. Pakai moisturizer skintific (please pakai sedikit aja 4 titik/5 titik sebiji jagung) biarkan meresap.
5. Pakai salicylic acid (ditotol di jerawat kalo emang lagi jerawatan)
6. Kalo keluar rumah pakai sunscreen (aku pakai yang spray karna ga cocok pakai sunscreen yang gel/sticky)

*Malam Hari*
1. Bersihkan wajah (MICELLAR WATER+FACE WASH)
2. Pakai toner (sedikit aja di kapas)
3. Pakai moisturaizer 
4. Pakai salicylic acid (kalo lagi jerawatan)

Saran jangan pakai pemutih apapun kalo wajah lagi breakout yang ada jadi ketergantungan dan bisa2 Tambah parah.

Kalau konsisten kulit wajah kamu akan membaik. Aku udah abis 3 jar dan sejauh ini aman ya. Jangan makan protein terlalu banyak kalo lagi jerawatan (telur+ayam+susu+ikan) lebih baik makan daging/tempe/tahu/ dulu. FYI sekarang aku lagi pakai serum skintific juga karna jerawatku udah membaik. Oya aku juga udah pernah pake Ms.G dan punya felito gak cocok gaes jadi jerawatan, yang felito cuma bruntus yang Ms.G jerawat batu kalo berhenti pakai."
Youtube,"Aku tipkul oily, ga cocok sama Skintific ini. Mana udah beli mahal2. Muncul jerawat2 kecil yg sebelumnya udah jarang muncul, ini banyak. Ternyata aku baru tau kalo oily skin ga cocok sama ceramide, lebih cocok pake hyaluronic acid. Dan sekarang udah mendingan sejak berenti pake ini. Emang bener ya ga usah ikutin trend kalo untuk masalah kulit 😂"
Youtube,"Ceramide gk cocok di kulit wajah Indonesia yg beriklim tropis karena rata"" berminyak.. lebih baik pakai pelembab dengan type Humectan untuk kulit berminyak,kalau kulit kering pakai type Emolient.."
Youtube,"Kak mau tanya, apa bisa klau uda pake moistnya skintific di dobel lg dgn day crem dan night crem skincare yg lain. Moga di jawab"
Youtube,dimethicone nya sih yg bikin jerawat mendem di aku
Youtube,"Kak mau nanya, muka aku lg jerawatan itu perlu pakai moistnya aja atau lebih baik pakai yg lengkapnya"
Youtube,Boleh ga si pake moisturizer Skintific setelah itu pake JJ glow?
Youtube,Udah kecepatannya jadi x1.25 jadi enak
Youtube,Aku agak bingung sama skintific mois yg ini.. bagus tapi sekalinya berhenti balik kering kerontang bgt jdi bkin ketergantungan gitu.. memperbaikinya pas pakai aja.. kalau gak pakai kering lagi..
Youtube,"Ini tuh sebenarnya cocok utk semua tipe kulit, caranya aja yg d ubah cara makenya, kalo oily skin makenya malam aja, dan jangan berlebihan, klo dry skin boleh siang malam"
Youtube,Bisa kok beli yg size besar 80ml kan ada dijual di ofc store nya. Kak
Youtube,"Tidak pada inti pembicaraan, berputar putar👎🏽👎🏽"
Youtube,"aq baru 4 hari pakai pagi malam gt, jd bruntusan parah padahal sebelumnya jerawatnya dikit bahkan g terlalu keliatan, skrg kulit jd merah2 jerawat batu byk bgt, apa mmg awalnya kyk gt? soalnya ada yg blg ini purging nanti ilang sendiri"
Youtube,"Kak..mau shering aku pakai skintific kok mlh muncul flek hitm+merah sedikit ""ya kenpa ..bolih tolong dijelasin..pa mukaku yg sensitif ..
Terima kasih"
Youtube,Aku bingung kmrin pakai baik” ajah tpi masuk 2 jar malah tumbuh jerawat ditempat yg gak pernah ada jerawat jdi nambah bnyak bekasnya😩😩😭😭
Youtube,Ngomong apa sih ciiiiii. Ciiii ngomong apa ciii
Youtube,Judul nya bikiinnn...😅
Youtube,G pernah cocok jg sm skintific udh coba banyak uenis produknya skintific
Youtube,"Klo aku cm pake toner sm facial wash nya aja,, cream pakai ponds flawless 😁"
Youtube,"Ka klo pke moist mlm hari, dipke nya sesudah atw sblm krem mlm"
Youtube,Kira kira kalo ga cocok kaya gmn ya
Youtube,"Bener banget..ak ke perth Ausie 17hari udh abis kak satu jar plus serum..disana emg cuaca bikin kulit sangat kering..
Di indo biasa ku jarang bgd pake handbody di ausie aku pake tiap hari bahkan malam hari pun ku pakai sehabis mandi 🥲🥲🥲🥲"
Youtube,"kak aku cowo tipe kulit berminyak t zone dan berjerawat udah lama dan banyak bekas nya 
ada ga rekomendasi pelembab yang ada di indo/alfa?
untuk sekrang masih pake dari acnes tapi minyak nya kayak semakin keluar gitu"
Youtube,Aku cocoknya yg biru pakai pink malah kusem mana beli blm lama untung ada tmen mau beli🤣 kulitku normal to oily pakai pink mlh prah pkai biru glowing ga pakai skintific jauh lebih glowing
Youtube,Ka mau tanya. Apa boleh setelah pakai moist skintif lalu sunscreen terakhir di aplikasikan bedak? Intinya boleh gk pake bedak setelah skincare an??
Youtube,"Saya tinggal di Amerika Serikat berpuluhan tahun. Setau saya moisturizer yg mengandung ceramide itu memang banyak di jual di negara2 yg ada musim dingin nya dan kebanyakan bule bule kulitnya kering. Kalo di Amerika, merek CeraVe (terkenal kandungan ceramide nya) justru murah murah karena itu kaya merek merakyat. Saya cuman pake cerave kalo lagi musim dingin/salju itu pun di bagian tangan dan kaki. Kalo di wajah agak jarang kecuali saya emang lagi mau jalan2 sight seeing di kota karena jalan2 dan kena angin dingin , itu bikin wajah jadi cepat kering makanya saya pake CeraVe. Tapi kalo udah musim Spring apa lagi Summer, saya ngga bergantungan sama moisturizer yg mengandung ceramide. Ketika saya pindah ke Jakarta dan  “ceramide” lagi booming di Indonesia , saya bingung kok temen2 saya (yg saya tau kulit mereka juga oily di T Zone) kaya tergila gila sama ceramide. Dalam hati saya Jakarta udah panas kaya gini, kulit mereka juga combo skin/oily kok malah pake nya moisturizer yg ada ceramide dan kaya tergila gila sama CeraVe katanya itu merek sultan…hah merek Sultan? Saya di Amerika beli CeraVe di  Wal Mart biasa aja kalii😂😂 Dan bener beberapa bulan mereka pada ngga suka sama pelembab yg kandungan nya terlalu banyak ceramide nya. Mereka ngikutin beauty2 influencer luar negeri..saya jelasin mereka itu bule, ngga semua tapi kebanyakan bule memang kulitnya kering beda sama kita orang asia tenggara yg kebanyakan kulit nya oily atau combo dan ditambah di negara2 Beauty influencer itu ada musim winter/salju nya mahkanya mereka perlu pelembab yg mengandung ceramide. Jadi untuk kalian yg punya oily skin atau combo skin dan tinggalnya juga di daerah tropis/panas (seperti Jakarta) , sebenernya kalian ngga begitu perlu ketergantungan dengan ceramide. Beda yah sama orang yg kulitnya kering bahkan punya penyakit eksim, nah baru deh saya rekomen ceramide. Orang2 barat, atau beauty2 influencer di Korea Selatan, Jepang atau Australia apa lagi yg tinggalnya ada musim saljunya ..mereka mungkin akan menggunakan skin care yg cenderung ke kulit kering dan membutuhkan ceramide. Ngga semua harus serba di ikutin, karena setiap manusia kulit nya beda beda apa lagi untuk orang Indonesia yg misalnya udah punya kulit oily atau combo skin ditambah tinggal juga di daerah panas..mendingan cari skin care yg menyesuaikan kondisi kalian."
Youtube,"Usia saya 37thn jenis kulit wajah berminyak,pori besar ,beruntusan.setelah rutin pake acnes hasilnya jauh lebih baik 🎉"
Youtube,"Gw cowok, tipe kulit muka kering sensitif. Gampang merah dan ngelupas malah. Nemu produk ada ceramide gini beneran cocok banget, udah coba produk ini. Pake sih pas malam aja, dan itu udah lumayan banget membantu. Hampir sebulan pemakaian, kemerahan jadi sangat berkurang, gak gampang ‘gatel’ dan kering lagi. Gak timbul jerawat juga sih karena emg jarang banget jerawatan."
Youtube,"Aku tidak pernah pake skincare di wajah kulitku tipe sensitif dan berminyak dan Alhamdulillah wajah  bersih,tapi tiap dtg bulan biasanya jerawat muncul biasanya ninggalin bekas.. saya jujur hanya menggunakan sabun batang Lifebuoy merah di wajah setiap mandi, tapi itu ngefek sekali bikin bekas jerawat cepat hilang dan wajah juga cerah.. makanya tiap liat berita skincare Viral pengen nyoba tapi takut ketergantungan dan mengorbankan wajah yg sebenarnya baik-baik saja"
Youtube,"lagi bingung nyari pelembab yg cocok,kulit dah biasa ma cuaca beijing selama 10 tahun,pulang ke Indonesia kulit berubah jadi beruntusan dan kusam 😭😭.skincare yg biasa q pakai selama di sana ga cocok q pakai di sini 😢"
Youtube,Pernah nyoba satu jar skintific tapi  akhirnya balik lagi ke simple
Youtube,Ga jelas
Youtube,Jenis kulit kknya apa ka
Youtube,"Ibuk"" usia 40 muka kering kusam plus flek gmn kak"
Youtube,"Review jujur
Kelbihan mouz ini cocok untuk aku buat nglembab in dan jadi jarang muncul jerawat.... Udah pake setahun lebih
Tapiiiii kelemahannya nihh
Di dagu sama di pipi ku skrng tuh jadi kayak muncul jerawat kecil kecil mendem gitu...tapi ngg menonjol.. kayak didalam lapisan kulit... Aneh aja, apakah karena biar jerawat ngg keluar jadi kayak mendem gini.. bingung mau lanjut lagi atau engga sih.. udah coba treatment IPL 2 kali an.. ttapi ngg ngaruh..."
Youtube,Kok makin jerawatan yaa pake ini slma 2 minggu
Youtube,Reviewnya bagus sih tapi judulnya misleading
Youtube,Kak kalo pake moisturizer skintific boleh gak di tambahin pelembab lagi?
Youtube,kak kalau pakai ini setiap hari pagi&malam/ seminggu cuma brp x?
Youtube,"Kalo aku ini skintific cocok cuma pas malam. Gak cocok pas pagi dan  pas muka oily secara natural malah bikin kulit bertekstur di aku. Pokokmya kayak di aku ini works best hanya di malam hari dan pas tidur doang dan pas pake AC dingin.

Daaaannn..
Ini cocoknya ternyata kalo gak pake toner!!!! Gak tahu deh kenapa, tapi di aku gitu"
Youtube,"Kak saya mau coba moisturizer 5x ceramide yang travel size, apakah kandungan nya sama dengan yang biasa 30g?"
Youtube,Kak sudah halal blm
Youtube,Ceramide hanya cocok untuk kulit kering...ingat ya kulit kering
Youtube,"Teman2, coba pake moisturizer Sensatia Botanicals deh. Menurutku itu pelembab lebih ke bikin sehat aja. Jadi aman banget gak bikin muka jadi bruntusan."
Youtube,Kalo olay bagus g kk buat kulit indonesia? Usia 55
Youtube,"Tutorial make up yg di video ini dong cii, lengkap sama brand nya"
Youtube,"Ak pake ini cocok kok bersih cerah halus, wanginya pun enak. Aplg kulitku jg cenderung kering sih normal cenderung kering."
Youtube,Aku bruntusan apa gacocok ya
Youtube,"Pantesan aku coba pakai skintific ini jd kek kering wajah aku, tp kalau pakai ms glow lebih sehat dan cerah gitu"
Youtube,Entah lah aku bingung hrs pke app... Aku skrg mmng pke brand it tp wajah ku kering dn tmbh kusam nah udh pk yg it wrn biru aku pindah ke wrn yg pink tp ttp blm add perubahan msh ttp kering dn kusam mlh jd add kerutan2 gituh.... Knp yah????????????
Youtube,"Ini cocok sama yg kulit nya sensitif,sama yg gampang merah sama yg pernah d laser mukannya karna efeknya jd sensitif,kalau d australi setau saya ada produk QV ini jg bagus untuk kulit kering"
Youtube,Aku nyobain pake seminggu ini malah gatel dan bruntusan 😢
Youtube,Skintific itu kok pembuatan ptnya beda2 apa bukan ory ya
Youtube,"Aku punya yg retinol set sama glowing set nya skintific, kalo ada yg mau beli boleh, ga cocok di aku 😢"
Youtube,Sialan judulnyaaa😂😂😂
Youtube,"Skintific di kulit ku yg jerawat cocok2 aja, tp kusem bgt di muka 😢"
Youtube,"kak saya mau tanya, saya beli skintific 80gr isinya udah tinggal setengah tpi kok ga mau keluar, ini gimana tolong kak😭😭🙏"
Youtube,"Gw udh beberapa bulan ini pake citra fresh & glow yg aloe vera alhamdulillah cocok, harga murah, nyarinya jg gampang."
Youtube,"Sebenarnya kulit saya berminyak dan mudah keringetan, Saya hanya pakai facial wash dan tidak pernah pakai skincare apapun ,kadang2 wajah saya tiba2 gatel kering beruntus, sedikit ngelupas.karena liat skintific ini bintang 5 di app orange jadi mau nyoba ternyata mahal harga 30-40 RB seuprit 6gr😂"
Youtube,"Kulit kering cocok pke kok kak,"
Youtube,bagus aman gak gumpal gumpal di makeup
Youtube,Untuk kulit kering kayak aku ga cocok pakai skintivik soalnya ada kandungan fragrance jadi di kulit aku bikin bruntusan tambah kering bahkan mengelupas. Tp untuk mencerahkannya dapet cuma itu tadi kulit jd kering dan bruntus. Akhirnya aku stop pemakaian padahal masih banyak 😢
Youtube,"Saking bnyknya product2 skincare,dlm wkt 5/6 th biasanya sudah berubah Dan beda LG hasilnya, seperti contohnya DRW SKINCARE MS GLOW 😂😂 teman2 saya wkt pakai 1/2 th hasil okay tp kenapa setelah selang 2 thnn kulit berubah kusam kembali seperti semula 😂"
Youtube,inget !! skintific itu dari china ya  bukan produk lokal bukan umkm jadi jangan sangat samakan dengan produk lain yg ada di toko di mall.
Youtube,Judul dan foto thumbnail nya click bait.
Youtube,Click bait 🤥
Youtube,Banyak ngoceh gk jelas
Youtube,Skintific produk buatan cina yg ngaku kanada tapi dichina pun ga dikenal ini merk hanya dijual di indo .nah loh 😅
Youtube,"Yg pink cocok di aku, bikin gak jerawat karna aku tipe kulit sensitif jeriwi didagu tp ga pke lagi timbul lagi jeriwi bnyk didagu huhuu tp keluhannya pas pake yg pink kalo keluar rumah apalagi kemarau gini muka lgsg kebakar ngitemin (meskipun pemakaian malam aja) karna ada alpa arbutinnya kudu ati2 bgt, skrg lagi nyari2 produk lain yg lebih work😭 dulu juga awal2 pake l*real night mencegah jeriwi timbul tp lama2 ga ngefek gini yaa begitu aja terosss,  kalo botol ke2 suka ga work heran salahnya dmn😂"
Youtube,4:05 INISIH VIDEO BERMANFAAT UTK SEJUTA UMAT SUPPORT SKINTIFIC SECARA BIJAK BUKAN NGEHUJAT TP PENYAMPAIAN NYA YG SECARA JUJUR DN MASUK AKAL GA DILEBIH-LEBIHKAN TP LOGIS BGT PENYAMPAIAN KATANYA THANKS KAK AKU MAU PAKE BUAT AKU YG JERAWATAN THANKS KAK ❤
Youtube,"Muter-muter ceritanya. Nggk langsung pada inti nya, malah cerita kemana-mana."
Youtube,judul y gk ssuai wkwk ...mlhn ttp pke
Youtube,Aq gak suka make ini..bukan gak cocok sbnernya..cuma klo dipake malam tp pas paginya gak bikin glowing mnurutku gak cocok
Youtube,Ak pake skintific yg biru jdi jrawatan
Youtube,anjir ga penting bgt cuma cerita dia ga bisa beli skintifik di ausie dan ngomongnya dipanjang2in jd 6 menit
Youtube,Skintific kan di khusus kan org2 Asia kan
Youtube,wahaha kirain kenapa
Youtube,Berapa lama si kak pakai prduk ini perubahan nya
Youtube,"Kalo saya sudah borong semua produk Skintific karena pas ada Big Sale,dampaknya bingung mau pake yang mana.. aku coba semua gonta ganti tapi kata temen wajah jadi cerahan,apalagi kalo pake serum vit C dan Retinol gantian pakenya pagi dan malam dan pake mois sesuai serumnya bagus bgt hasilnya.. saya kayak keracunan Skintific nyetok banyak bgt dirumah.. sebelumnya sering beli minuman Collagen n Gluthation malah skrg gak keminum masih banyak.."
Youtube,"Ngomongnya bertele² , byk pengulangan 🤭"
Youtube,"Gua,aku, gua aku.. aaa ee aaa ee.. plis kak jelasinnnya belibet😢"
Youtube,"Owalah mba, cari aja di sana merk lain tapi dengan kapasitas kandungan ceramide juga, pasti ada, ya sometimes brand minded works as placebo."
Youtube,"Kak, mau tanya. Kl mlm pake moisturizer renew n retinol trs kl pagi pake serum n moisturizer yg pink. Knp jrwat muncul di dekat alis aja y. Trims"
Youtube,"Terimakasih sharingnya yaa...aku skg lg nyoba yg set Barrier Repair, Brightening dan SymWhite. Alhamdulillah dlm hitungan hari sdh kelihatan memperbaiki skin barrier dan kecerahan wajahku,  jg dikit2 dark spot bekas jerawat memudar. Pengen bgt nyobain yg truffle biome secara kulit aku lumayan kering soalnya.😊"
Youtube,hbs pake toner n pure trs lanjut pake skintific moist pink aman ga ka?
Youtube,"kak maaf salfok spill lipsnya di video, cakep bngt 😭"
Youtube,Ka aku menyusui tp udah terlanjur beli yang pink
Youtube,"saran dari aku ajah yah dari pengalaman, buat kalian yang kulitnya oily banget sebaiknya g usah pakai yg 5x ceramide karena itu akan membuat muka kalian jadi kalang minyak, jadi buat yg oily baiknya pakai yg msh niacinamide ajah mayan mengurangi minyak + memudarkan dark spot, dan juga entah kenapa gw yg jerawtan pakai yg pink Alhamdulillah cocok ngurangin jerawat ku + bekas bekasnya😭🙏🏻"
Youtube,"kak aku ada iritasi juga yang kaya kaka pake kebanyakan, produk apa yang bisa bikin reda ya 😭😭😭"
Youtube,next moisturizer the originote kak
Youtube,Aman busuih gak kak
Youtube,Utk yg usia 50+ bagus yg mana mba
Youtube,Ka aku baru berhenti dari skincare dokter trus ada darksportnya bagus gak kalo pake yang trufle
Youtube,Kak yg lebih cocok buat muka merah 2apa ya
Youtube,"Kak kalau baru mau coba skincare stlh sekian lama g pernah pakek skincare lagi kira2 pakek yg mana kk? Kulit berminyak kusam, Saya menyusui 
Katanya bagus biru kalau untuk busui, tp jg ada yg bilang kalau kulit berminyak jgn pakek yg biru"
Youtube,kak kalau buat yang kulit gradakan pakai yang mana ya?
Youtube,Kak kalo seperti saya yg kulitnya agak berminyak dan gmpang jerawat
Youtube,Klau kulit berjeragat kusam kering pakai yg mna ya
Youtube,Saran nya ka buat aku yang punya kulit wajah berminyak komedoan berutusan tapi ga ter lalu parah sih
Youtube,Aku mau coba pake scincre tapi scincre apa yang bagus buat kulit wajah berminyak komedoan beruntusan
Youtube,Yg aman untuk bumil dan mnyusui sebaiknya pakaibyg mana
Youtube,"Kak kl utk kulit kemerahan di bagian tulang pipi, cocok pakai apa..."
Youtube,Ka kalau skintific truffle biome barengan sama niacimide bisa ga ya ?
Youtube,"Kak klo pake yg moisturizer pink, serum nya yg symwhite 377 skintific boleh gak kak?"
Youtube,"Kak, mau nanya kalo yg biru boleh jg ga di pakai utk malam? Mohon di jwb ya. Mksh"
Youtube,Sy pkai yg putih
Youtube,Kak kalo habis pake skincare merkuri bagusnya pake yg mana ya? Tolong dijawab
Youtube,"Bagi pengalaman nih kak... sy kebetulan type kulit yg berminyak tp sy pake moisturizer skintific yg warna biru alhamdulillah setelah habis 1 pot di sy perubahan nya keliatan bgt... kulit muka jd halus dan ga jerawatan lg, nah sy pikir tu kan sudah aman buat pake moisturizer skintific niacinamide sy ganti lah yg warna Pink, malah jadi jerawatan dan bruntusan parah kak, entah knp ya kak muka sy tu klo pake skincare yg ada kandungan niacinamide nya selalu begitu... tp klo pake yg ada kandungan alpha arbutin gpp kak..."
Youtube,Aku jual skintific biru 91k (harga setelah pakai voucher live 10k dishopee) yang minat komen ya
Youtube,"Maf ka mau nanya, klo utk pagi urutannya ap aja ya, apa cuci muka,toner,skhintific,day cream, sunschreen ? Dn klo mlm urutannya apa aja ya, apkh cuci muka,toner,skhinfitic,serum(retinol),cream mlm . Apa gmn ya ? Please jwb ya ka."
Youtube,klo muka kemerahan ditambah bekas jrwt itu mke yg mn
Youtube,"Kak,, mohon bantu Jawab untuk usia 40 kulit kering kusam dan flek pakai yg mana?"
Youtube,"Kak kalo kita uda pakai yg merkuri bgs nya pakai yg biru ato pink, krn muka saya ada flek nya"
Youtube,"Urutan pemakaian nya duluan serum atau moisturizer ka?
Soalnya aku pemulaa"
Youtube,"Butuh banget review ini, pengen nyari hidrasi termantul."
Youtube,Truffle biome bisa di pakai saat exfoliasi g kk
Youtube,Ka kalo pagi pake biru malam pake yg pink bisa gak ?
Youtube,Bertele2
Youtube,kalo pagi pake msh terus malemnya pake yanh 5× ceramide boleh ngga kak?
Youtube,"Udah coba yg biru sama truffle biome, malah menurutku lebih menghidrasi yang biru, kalo truffle biome lebih ke menyeimbangkan kondisi kulit kita tapi lumayan ngurangin jerawat. Jadi kupakai dua2nya, yang biru buat daily, yang truffle biome buat malam Hari biar kalo pagi2 nggak kek kilang minyak."
Youtube,Bisakah yg thruffle dipake dipagi hari buat kulit kering?apakah gak jadi kilang minyak kak disiang hari?
Youtube,Vs ini sama panthenol 5% via short gpp kak
Youtube,"Huhuu aku pakai set skintific drakspot , 😢 bruntusan satu muka terus dibagian pipi agak merah , kering jugaa😌 udah aku stop pemakai.
Tolonggg kasiihh masukan:')"
Youtube,"Utk usia up 50y, jenis normal to dry, pori2 besaar warna kulit gak rata.
Baiknya pake pelembab dan serum yg manakah? Tks"
Youtube,kak muka q banyak bintik2 hitam dan flek hitam harus pakai yg mana ya.kak
Youtube,"Saya pemula ka.. beli 3 set glowing dapat yg mousterizer barrier gel, mousterizer,  brightening, serum dan facial oil. Nah pengen cerah, tapi bisa ga di pakai kadang-kadang khusus yg barrier. Pengen fokus mencerahkan."
Youtube,Kak kalo moisturizer msh niacinamide di gabung sama serum 377 bisa ga ya
Youtube,Kakak pakai skincare apa ?
Youtube,"Kk, klo usia 55 THN kusam cocok skintific kah? Yg mana?"
